"FirstName","LastName","Email","Phone","PlanInfo","CreatedOn","UpdatedOn","LastService","ServiceLocation","PurchaseType","CustomerType","Id"
"Jaylon","Richmond","JaylonRichmond@testmail.com","+1 582-333-1857","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",1
"Lilia","Potts","LiliaPotts@testmail.com","+1 301-861-7214","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",2
"Chad","Blackburn","ChadBlackburn@testmail.com","+1 320-740-1256","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",3
"Gianni","Hunter","GianniHunter@testmail.com","+1 208-921-3742","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",4
"Braydon","Deleon","BraydonDeleon@testmail.com","+1 313-526-3509","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",5
"Liberty","Austin","LibertyAustin@testmail.com","+1 518-314-4109","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",6
"Abraham","Landry","AbrahamLandry@testmail.com","+1 505-933-6664","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",8
"Travis","Ryan","TravisRyan@testmail.com","+1 408-490-4699","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",9
"Sabrina","Booth","SabrinaBooth@testmail.com","+1 582-333-7305","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",11
"Larissa","Freeman","LarissaFreeman@testmail.com","+1 582-201-1859","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",14
"Karli","Lynch","KarliLynch@testmail.com","+1 505-644-5580","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",15
"Charlotte","Trevino","CharlotteTrevino@testmail.com","+1 202-459-3258","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","S","Active Subscriber",16
"Andres","Christian","AndresChristian@testmail.com","+1 207-857-0512","prime","11/09/2021","1900-11-06T00:00:00.000Z","11/09/2021","Choa Chu Kang New Town","O","One Time User",18
